@relation cofacts-2-categories_above100
@attribute Text string
@attribute class-att {RUMOR,NOT_RUMOR}

@data
'臉友 醫師 寫 準 炎症 癌症 發生 服用 阿斯 匹靈 人 少 腸癌 乳癌 惡性腫瘤 研究 發現 癌症 發炎 身體 壓力 脂肪 代謝 環境 空 汙 導致 身體 產生 準 炎症 慢性 輕 發炎 免疫抑制 動物 實驗 發現 至少 影響 p53 基因 運作 保護 好 基因 產生 癌 基因突變 防癌 抗癌 減少 癌症 復發 從抗 發炎 https cancernewlife blogspot com 2017 06 inflammation html m 營養 運動 舒壓 健身 練 肌肉 維他命 D 薑黃 素 魚油',RUMOR
'南瓜 豆漿 蒸煮 防治 退化 性膝 關節炎 南瓜 豆漿 改用 鮮奶 取代 豆漿 再 一個 雞蛋 預防 退化 性 膝關節 秘方 一人份 取 豆漿 南瓜 一碗 南瓜 外皮 洗淨 連皮帶 子 切成 小 塊 將各 一碗 南瓜 豆漿 倒 進 鍋子 大碗 公 放入 電鍋 外鍋 放 八分 量杯 水 按下 開關 蒸煮 煮 好後當 早餐 吃 還滿 好吃 喔 持續 天天 吃 預防 退化 性膝 關節炎 五十 肩 肌腱 炎 已經 嚴重 退化 性膝 關節炎 晚上 九點 再 吃 一次 持續 吃 三個 月 明顯好轉 秘方 係 出國 旅遊 時 七十歲 陳太太 告知 十年 前 發生 退化 性膝 關節炎 各大 醫院 求醫 並打 玻 尿酸 無效 醫生 建議 做 人工關節 時 朋友 告知 秘方 持續 吃 三個 月 後 慢慢 好轉 現已 旅遊 南瓜 營養 相當 豐富 含有 多種 維生素 礦物質 醫學 研究 南瓜 促進 人體 胰島素 分泌 增強 肝腎 細胞 再生 能力 有效 防治 糖尿病 高血壓 南瓜 中 含有 一種 分解 致癌物 亞硝胺 酵素 消除 亞硝胺 致癌 作用 減少 消化系統 癌症 發生率 南瓜 相關 食譜 南瓜子 南瓜 濃湯 南瓜 歐風 咖哩 南瓜 米粉 歡迎 轉 line 功德無量',RUMOR
'zz here 黑木耳 吃 堪比 吃 毒藥 記得 告訴 家裏 人 51 health 2018 04 23 黑木耳 生長 朽木 形似 人 耳朵 色 黑 褐 黑 故名 黑木耳 又名 木菌 樹雞 黑木耳 營養 豐富 史料 記載 上古時代 帝王 獨享 佳品 含有 大量 碳水化合物 蛋白質 鐵 鈣 磷 胡蘿蔔素 維生素 營養物質 100 克中 含鈣 375 毫克 相當於 鯽魚 倍 含鐵 185 毫克 相當於 鯽魚 70 倍 51 養生 網小編 了解 壹下 黑木耳 多種 藥用價值 壹種 珍貴 藥材 明代 著名 醫藥學家 李時珍 本草綱目 中 記載 木耳 性 甘平 主治 益氣 饑 補氣 益智 潤肺 補腦 活血 止血 功效 近代 醫學 黑木耳 藥用價值 新 發現 木耳 好處 正確 吃法 只會 越 吃 越毒 木耳 蘿蔔 壹起 吃 木耳 蘿蔔 寒性 食材 壹起 食用 容易 導致 皮炎 木耳 中 含有 壹些 過敏源 特殊性 物質 敏感 人 最好 木耳 蘿蔔 壹起 食用 木耳 麥冬 壹起 吃 麥冬 具有 好 強心 抗菌 作用 木耳 中 成分 相沖 突 壹起 食用 容易 導致 胸悶 惡心 不適 癥 狀 木耳 田螺 海螺 壹起 吃 木耳 脂類 膠質 海螺 中 生物 活性 物質 產生 不良反應 海螺 寒性 木耳 具有 滑利 作用 壹起 食用 容易 消化不良 嚴重 中毒 木耳 野鴨 壹起 吃 木耳 壹種 寒性 食材 野鴨 寒補 食材 兩壹起 食用 加重 腸胃 負擔 嚴重 導致 消化不良 癥 狀 這是 真的',RUMOR
'一日 飢餓 秘密 獲得 諾貝爾獎 知道 體內 大多數 組織 定期 新 細胞 替換 細胞 器官 需要 時間 完全 更新 組織 根本 替換 細胞 有沒有 想過 身體 死去 細胞 最終 日本 細胞 生物學家 大隅 良典 博士 花 數年 時間 研究 人 體細胞 清除 廢棄物 體內 自噬 過程 正常 運作 人 罹患 型 糖尿病 帕金森氏症 一些 老化 相關 疾病 癌症 事實證明 當你 禁食 時 細胞 壽命 更長 產生 能量 https www youtube com watch v gXC6LHkUPnE',RUMOR
'一日 飢餓 秘密 獲得 諾貝爾獎 知道 體內 大多數 組織 定期 新 細胞 替換 細胞 器官 需要 時間 完全 更新 組織 根本 替換 細胞 有沒有 想過 身體 死去 細胞 最終 日本 細胞 生物學家 大隅 良典 博士 花 數年 時間 研究 人 體細胞 清除 廢棄物 體內 自噬 過程 正常 運作 人 罹患 型 糖尿病 帕金森氏症 一些 老化 相關 疾病 癌症 事實證明 當你 禁食 時 細胞 壽命 更長 產生 能量 https www youtube com watch v gXC6LHkUPnE',RUMOR
'V 快遞 緊急 訊息 scream red arrow right 親鄰們 請 檢查 家裡 是否 三種 台鹽 生產 問題 鹽 scream 身體 產生 嚴重 傷害 台鹽 成 殺手 鹽 艱怪 台灣 人 洗 腎 世界 第一 請 詳細 完 追查 實 証 https youtu be BM1z1 PTl9Q',RUMOR
'作者 陳 敏芳 女士 台大 醫學院 院長 董 大成 教授 長媳 定居 美國 西雅圖 感染 新冠 病毒 身邊 朋友 請託 希望 分享 情況 決定 染病 經驗 公開 了解 新冠 病毒 想像 容易 感染 確信 參加 一個 小型 家庭聚會 時 感染 當時 參加 客人 人 咳嗽 打噴嚏 顯現出 生病 症狀 約 40% 參加 聚會 人 感染 媒體 所說 勤洗手 避免 症狀 人 接觸 做 覺得 方式 避免 感染 完全避免 人群 接觸 40% 感染者 參加 聚會 後 三天 之內 發病 相同 症狀 包含 發燒 症狀 因人而異 每個 人 身體狀況 年齡 有所不同 大部分 受 感染 朋友 年齡層 約 40 50 歲 左右 30 幾歲 來說 染病 初始 症狀 頭痛 發燒 最初 三天 持續 高燒 三天 間歇性 高燒 身體 劇烈 疼痛 關節 疼痛 強烈 四肢無力 倦怠感 感染 第一個 晚上 高燒 103 度 隨後 下降 100 度 99.5 度 朋友 則有 腹瀉 症狀 一天 覺得 想 嘔吐 發燒 症狀 消退 後 鼻塞 喉嚨痛 症狀 持續 極少數 人 感到 輕微 喉頭 搔癢 干咳 幾個 人 感到 胸口 鬱悶 感 呼吸道 感染 徵狀 整個 發病 期約 持續 10 16 天 問題 癥結 點 在於 人 咳嗽 呼吸困難 症狀 時 傾向 需要 認為 接受 新冠 肺炎 測試 透過 一個 叫做 西雅圖 流感 研究 機構 做 測試 這是 一個 位於 西雅圖 研究 機構 透過 志願者 檢測 研究 流感病毒 類型 社區 傳播 幾週前 機構 志願者 提供 新冠 肺炎 病毒 做 隨機抽樣 檢測 測到 陽性 樣本 送到 國王 郡 公共 衛生部門 做 感染 病毒 確認 隨後 通知 在內 所有 陽性反應 檢測 人 確認 感染 新冠 肺炎 病毒 最初 感到 症狀 昨天 為止 已經 過了 13 天 發燒 症狀 消退 已經 過了 72 小時 天 國王 郡 公衛 部門 建議 感染者 感染 症狀 出現 後 做 至少 天 自我 居家 隔離 發燒 症狀 消退 後 72 小時 應 居家 隔離 避免 接觸 公眾 目前 已經 度過 兩個 期限 自我 居家 隔離 於此 避免 過度 參與 公眾 活動 接觸 大批 人群 我並 住院 所有 感染 新冠 肺炎 病毒 人 住 進郡立 醫院 感染者 醫生 自我 痊癒 來說 感覺 一個 以往 流行 型 感冒 稍微 嚴重 一點 新型 流感 接種 受到 保護 流感疫苗 確信 缺乏 新冠 病毒檢測 機制 造成 多數 人 相信 感染 風寒 正在 傳播 季節性 流感 最糟 情況 人 顯現 症狀 情況 下 正常 參加 集會 活動 正常 社交 聚會 而將 病毒傳播 知道 人 認為 這款 病毒 傳染給 真心 希望 真的 相信 整體 缺乏 早期 發現 預防性 檢測 將會 嚴重 影響 西雅圖 地區 公眾 新冠 肺炎 抵抗能力 目前 已知 情況 西雅圖 地區 已經 嚴重 疫情 已經 痊癒 真的 希望 病情 發生 更多人 身上 想 做 一件 正確 選擇 呼吸系統 感染 症狀 不致於 變得 嚴重 服用 Sudafed 一種 藥房 販售 不需 處方 感冒 退燒藥 Afrin 鼻腔 噴劑 使用 清 鼻腔 咽喉 分泌物 Neti Pot 措施 保持 鼻腔 咽喉 乾淨 防堵 病毒 向下 蔓延到 肺部 提供 醫療 建議 分享 經驗 我並 肺部 感染 也許 做 肺部 感染 相關性 感染 病毒 特性 病毒感染 量 希望 分享 資訊 幫助 避免 受到感染 推動 整個 公眾 檢測 系統 啟動 感染者 早期 自我 隔離 呼吸道 症候群 感染 疑慮 早期 接受 治療 洗手 無法 完全避免 受到感染 尤其 徵兆 帶原 傳播者 正是 身邊 普通 社交 場合 出現 人們 感染 病毒 後 一定 致死 想 小心 傳播 病毒 給你 身邊 關心 年長者 免疫系統 功能 失調 親友們 保重 陳 敏芳 美國 西雅圖',RUMOR
'♦ 香噴噴 雞腿 ♦ 雞農 每天 會給 雞 注入 三劑 合成 類固醇 抗生素 生長 激素 持續 30 天 使 快速 成長 增加 體重 雞 30 40 天內 出售 果 賣出 雞 隻 上述 有毒 混合物 加害 致死 相對 雞 人 吃掉 時 消費者 間接 受到 殘留 藥物 造成 慢性 疾病 因爲 雞場主 人及 員工 完全 知道 這種 副作用 不吃 雞 雞農 有錢賺 好 簡單 地說 雞 潛伏 致癌 病變 雞 禽類 牛豬 畜牧業 節省 飼養 成本 吃 肉 吃 下去 日後 身體 負擔',RUMOR
'日常生活 中 小常識 喝 冷水 喝 熱水 區別 以為 礦泉水 冷水 冰水 算 2000 毫升 裡 喝 排毒 效果 大打折扣 ❶ 冷水 完全 瘦 熱水 加速 打散 脂肪 團 ❷ 冷水 還會 引起 身體 水腫 人會 肚子 越來越 人會 大小腿 越來越 腫',RUMOR
'崑崙 派 祖傳 千年 顫掌 分鐘 恢復 血管 彈性 打通 氣脈 恢復 血管 彈性 血 疏 送 氣血 暢通 百病 https youtu be RVOTRQoTbd0 太太 睡覺 右手 突然 酸麻 無力 無法 寫字 訂書機 無法 壓 我教 顫 掌 一天 痊 瘉 拜拜 人 說謊 介紹 阿彌陀佛',RUMOR
